strategy,open_layer_count_at_exit,basket_count,cross_found_count,cross_found_pct,within_0m_pct,within_1m_pct,within_5m_pct,lag_median,lag_q75,lag_q90,variant
T3/S06,3,6,2,33.33333333333333,0.0,0.0,0.0,703.0,992.0,1165.4,touch_q25
T3/S06,4,5,0,0.0,0.0,0.0,0.0,,,,touch_q25
T3/S06,5,3,0,0.0,0.0,0.0,0.0,,,,touch_q25
T3/S06,6,4,0,0.0,0.0,0.0,0.0,,,,touch_q25
T3/S06,7,1,1,100.0,0.0,0.0,0.0,175.0,175.0,175.0,touch_q25
T3/S06,12,2,0,0.0,0.0,0.0,0.0,,,,touch_q25
T3/S06,16,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T3/S06,188,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T4/S08,1,21,21,100.0,0.0,47.61904761904761,61.904761904761905,2.0,7.0,14.0,touch_q25
T4/S08,2,7,0,0.0,0.0,0.0,0.0,,,,touch_q25
T4/S08,3,8,8,100.0,0.0,50.0,75.0,1.5,4.75,8.5,touch_q25
T4/S08,4,7,0,0.0,0.0,0.0,0.0,,,,touch_q25
T4/S08,5,4,1,25.0,0.0,0.0,0.0,127.0,127.0,127.0,touch_q25
T4/S08,6,3,2,66.66666666666666,0.0,0.0,0.0,284.0,382.5,441.6,touch_q25
T4/S08,8,4,1,25.0,0.0,0.0,0.0,1463.0,1463.0,1463.0,touch_q25
T4/S08,14,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T4/S08,15,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T4/S08,20,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T4/S08,21,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T5/S09,1,38,37,97.36842105263158,5.405405405405405,67.56756756756756,86.48648648648648,1.0,3.0,8.999999999999993,touch_q25
T5/S09,2,8,8,100.0,0.0,25.0,75.0,2.0,5.0,38.899999999999984,touch_q25
T5/S09,3,2,0,0.0,0.0,0.0,0.0,,,,touch_q25
