basket_id,target_mode,entry_hour,entry_minute,mfe_5m,mae_5m,mfe_30m,mae_30m,add_ons_30m,max_layers_30m,early_adverse_max,path_mfe,path_mae,observed_minutes
1412,overnight_medium,22,50,-0.7199999999997999,-1.199999999999818,-0.7199999999997999,-1.8799999999998818,0,1,1.8799999999998818,2.4200000000000728,-1.8799999999998818,3018.0
1413,quick_low,22,50,-0.14000000000010004,-0.5399999999999636,1.0599999999999454,-0.5399999999999636,0,1,0.5399999999999636,2.3299999999999272,-0.5399999999999636,41.0
1414,quick_low,22,20,0.7899999999999636,0.2799999999999727,1.1100000000001273,0.2799999999999727,0,1,-0.2799999999999727,1.1100000000001273,0.2799999999999727,8.0
1415,late_high,1,9,1.1799999999998363,0.5699999999999363,1.1799999999998363,-2.9200000000000728,0,1,2.9200000000000728,4.329999999999927,-2.9200000000000728,423.0
1416,timeout_loss,22,0,-0.209999999999809,-0.5299999999999727,-0.209999999999809,-1.8099999999999454,0,1,1.8099999999999454,-0.209999999999809,-2.6799999999998363,3065.0
1417,quick_low,22,0,0.6600000000000819,-0.2699999999999818,5.350000000000136,-0.2699999999999818,0,1,0.2699999999999818,5.350000000000136,-0.2699999999999818,9.0
1418,quick_low,22,10,0.8799999999996544,-1.1400000000003274,0.8799999999996544,-1.1400000000003274,0,1,1.1400000000001,0.8799999999996544,-1.1400000000003274,5.0
1419,quick_low,22,20,1.1800000000000637,-0.8099999999999454,1.1800000000000637,-1.1200000000001182,0,1,1.1200000000001182,1.1800000000000637,-1.1200000000001182,26.0
1420,timeout_loss,22,50,-0.009999999999990905,-2.25,-0.009999999999990905,-2.630000000000109,0,1,2.630000000000109,-0.009999999999990905,-2.630000000000109,46.0
1421,overnight_medium,23,41,0.07999999999969987,-0.23000000000024556,0.7599999999997635,-0.23000000000024556,0,2,0.2300000000000182,4.029999999999745,-0.23000000000024556,85.0
1422,timeout_loss,22,20,-0.8400000000001455,-1.3600000000001273,-0.14000000000010004,-1.6300000000001091,0,1,1.6300000000001091,-0.14000000000010004,-4.384999999999991,678.0
1423,late_high,22,0,-0.2599999999999909,-0.6499999999998636,-0.08999999999991815,-0.6599999999998545,0,1,0.6599999999998545,3.660000000000082,-3.1799999999998363,687.0
1424,quick_low,22,0,-2.0399999999999636,-3.0599999999999454,0.9200000000000728,-3.0599999999999454,0,1,3.0599999999999454,0.9200000000000728,-3.0599999999999454,14.0
1425,mixed_other,22,30,-0.11999999999989086,-0.3999999999998636,1.4500000000000455,-0.3999999999998636,0,1,0.36999999999989086,2.410565217391195,-6.858662790697963,1125.0
1426,quick_low,22,0,1.8299999999999272,0.4700000000000273,1.8299999999999272,0.049999999999954525,0,1,-0.049999999999954525,1.8299999999999272,0.049999999999954525,13.0
1427,quick_low,22,0,0.7699999999999818,0.14999999999986358,1.2799999999999727,0.08999999999991815,0,1,-0.08999999999991815,1.2799999999999727,0.08999999999991815,19.0
1428,overnight_medium,22,30,-0.33999999999991815,-1.1400000000001,0.8699999999998909,-1.259999999999991,0,1,1.259999999999991,3.930000000000291,-3.7000000000000455,3262.0
1429,overnight_medium,22,0,-0.39000000000010004,-0.7999999999999545,-0.39000000000010004,-2.1800000000000637,0,1,2.1800000000000637,0.029999999999972715,-3.269999999999982,284.0
1430,overnight_medium,22,0,0.08999999999991815,-0.3000000000001819,0.7799999999999727,-0.5199999999999818,0,1,0.5199999999999818,2.1499999999998636,-0.5199999999999818,208.0
1431,timeout_loss,22,0,-0.40000000000009095,-0.6800000000000637,-0.40000000000009095,-1.6800000000000637,0,1,1.6800000000000637,-0.009999999999990905,-3.2000000000000455,3088.0
1432,timeout_loss,22,50,1.4700000000000273,-1.2699999999999818,1.4700000000000273,-1.2699999999999818,0,2,1.2699999999999818,1.4700000000000273,-1.2699999999999818,5.0
1433,overnight_medium,22,0,-0.4800000000000182,-2.0300000000002,0.024999999999863576,-4.009999999999991,1,2,4.009999999999991,7.059999999999945,-6.083333333333485,312.0
1434,quick_low,22,20,1.3599999999996726,0.30999999999971806,1.3599999999996726,-0.5300000000002001,0,1,0.5299999999999727,1.3599999999996726,-1.930000000000291,47.0
1435,timeout_loss,22,20,0.3799999999996544,-0.8300000000001546,0.3799999999996544,-2.6300000000003365,0,1,2.630000000000109,0.3799999999996544,-2.6300000000003365,10.0
1436,overnight_medium,22,46,1.2699999999999818,-0.25,3.0799999999999272,-0.25,0,1,0.25,4.149999999999864,-0.25,152.0
1437,late_high,22,20,-0.5000000000002274,-1.7200000000000273,-0.5000000000002274,-2.3500000000001364,0,1,2.349999999999909,4.241599281221852,-3.6984007187782026,774.0
1438,quick_low,22,20,0.16000000000008185,-0.8799999999998818,0.3300000000001546,-0.9899999999997817,0,1,0.9899999999997817,0.3300000000001546,-0.9899999999997817,15.0
1439,timeout_loss,22,0,0.18000000000006366,-1.7100000000000364,0.18000000000006366,-1.7100000000000364,0,1,1.7100000000000364,0.18000000000006366,-1.7100000000000364,14.0
1440,quick_low,22,33,1.5499999999999545,-0.09999999999990905,4.070000000000164,-0.09999999999990905,0,1,-1.240000000000009,4.070000000000164,-0.09999999999990905,24.0
1441,quick_low,22,50,2.160000000000082,0.42000000000007276,2.869999999999891,0.42000000000007276,0,1,-0.8399999999999181,2.869999999999891,0.42000000000007276,6.0
1442,quick_low,22,0,3.6199999999996635,-0.23000000000024556,3.6199999999996635,-0.23000000000024556,0,1,0.2300000000000182,3.6199999999996635,-0.23000000000024556,4.0
1443,overnight_medium,22,10,-0.45000000000027285,-2.290000000000191,0.22999999999979082,-3.4600000000002638,1,2,3.7200000000000273,5.720000000000027,-5.605000000000018,197.0
1444,quick_low,22,0,0.2699999999999818,-1.6799999999998363,1.5199999999999818,-1.6799999999998363,0,1,1.6799999999998363,1.9600000000000364,-1.6799999999998363,37.0
1445,late_high,11,15,1.5399999999999636,0.0,4.019999999999982,0.0,0,1,0.0,5.7999999999999545,0.0,33.0
1446,quick_low,22,50,0.4700000000000273,0.09000000000014552,0.9300000000000637,-0.8299999999999272,0,1,0.8299999999999272,0.9300000000000637,-0.8299999999999272,50.0
1447,overnight_medium,22,40,-0.34999999999990905,-1.5299999999999727,-0.10999999999989996,-1.5299999999999727,0,1,1.5299999999999727,2.2000000000000455,-1.5299999999999727,3120.0
1448,overnight_medium,22,0,0.2899999999999636,-0.12999999999988177,0.8599999999999,-0.33999999999991815,0,1,0.33999999999991815,0.8599999999999,-1.5,284.0
1449,mixed_other,4,25,0.6100000000001273,0.12000000000011823,1.4300000000000637,0.12000000000011823,0,1,-0.12000000000011823,4.040000000000191,-6.8699999999996635,683.0
1450,overnight_medium,22,0,0.4900000000000091,-0.9699999999997999,0.8400000000001455,-0.9699999999997999,0,1,0.9699999999997999,1.540000000000191,-0.9699999999997999,343.0
1451,overnight_medium,22,30,-0.42000000000007276,-1.3500000000001364,-0.11000000000012733,-1.4300000000000637,0,1,1.4300000000000637,1.1799999999998363,-1.4300000000000637,185.0
1452,overnight_medium,22,50,0.4499999999998181,-0.1300000000003365,0.4999999999997726,-0.2800000000002001,0,1,0.2799999999999727,0.6699999999998454,-0.2800000000002001,136.0
1453,late_high,3,29,0.010000000000218279,-0.2999999999999545,0.6000000000001364,-1.0799999999999272,0,1,1.0800000000001546,3.800000000000182,-2.2799999999999727,241.0
1454,mixed_other,22,0,0.20000000000004547,-0.23999999999978172,0.290000000000191,-0.2799999999999727,0,1,0.2800000000002001,2.1350000000002183,-3.5799999999999272,530.0
1455,quick_low,22,0,0.38999999999987267,0.01999999999998181,0.6299999999998818,-0.16000000000008185,0,1,0.16000000000008185,1.259999999999991,-0.2599999999999909,60.0
1456,quick_low,22,0,0.38999999999987267,-0.060000000000172804,1.3099999999999454,-0.4600000000000364,0,1,0.4600000000000364,1.3099999999999454,-0.4600000000000364,30.0
1457,timeout_loss,22,0,0.03999999999996362,-0.290000000000191,0.03999999999996362,-1.9700000000000273,0,1,1.9700000000000273,0.03999999999996362,-2.060000000000173,346.0
1458,late_high,7,21,0.3500000000001364,-0.18000000000006366,1.5599999999999454,-0.18000000000006366,0,1,0.18000000000006366,5.020000000000209,-3.2999999999999545,495.0
1459,quick_low,22,10,0.7699999999999818,0.09999999999990905,2.1499999999998636,-0.4900000000000091,0,2,0.4900000000000091,2.1499999999998636,-0.4900000000000091,21.0
1460,quick_low,22,50,1.7100000000000364,0.17000000000007276,2.25,0.17000000000007276,0,2,-1.0299999999999727,2.25,0.17000000000007276,10.0
1461,late_high,22,10,0.4399999999995998,-0.5200000000004366,0.4399999999995998,-3.3900000000003274,1,4,3.6299999999998818,5.436632663575665,-4.740000000000009,637.0
1462,timeout_loss,22,0,-0.10000000000013642,-0.8400000000001455,0.7299999999997908,-1.3600000000001273,0,2,1.3599999999999,0.7299999999997908,-2.4200000000000728,191.0
