mode,strategy,feature,auc,auc_lift,direction,positive_median,background_median,positive_count,background_count
all_background,T2/S03,ema_21_slope_4,0.8845514743729661,0.3845514743729661,high,1.4501137606152952,0.029146923048074314,153,72315
all_background,T2/S03,bbands_34_bbb_34_2_0,0.8835602285059737,0.3835602285059737,high,1.39993561956857,0.4937967287228118,153,72306
all_background,T2/S03,adx_14_dmn_14,0.11904848399738367,0.38095151600261634,low,11.84723586670523,20.708070984669696,153,72326
all_background,T2/S03,adx_21_dmp_21,0.8734586152293483,0.3734586152293483,high,28.92541770037158,20.31394581186344,153,72319
all_background,T2/S03,sma_50_slope_4,0.8722603152799545,0.3722603152799545,high,1.0209999999999582,0.036800000000084765,153,72286
all_background,T2/S03,rsi_14,0.861229809329183,0.361229809329183,high,64.9774136607258,50.59341732704953,153,72326
all_background,T2/S03,close_minus_ema_21,0.8592374905409558,0.3592374905409558,high,3.270182713931945,0.07478036406291722,153,72319
all_background,T2/S03,aroon_25_aroond_25,0.14704377477959685,0.35295622522040315,low,0.0,43.99999999999999,153,72314
all_background,T2/S03,cmo_21,0.8493144927984191,0.3493144927984191,high,35.76741041243958,1.3175406142321076,153,72318
all_background,T2/S03,adx_14_adx_14,0.8469578283801791,0.3469578283801791,high,41.167089567138284,23.37075617161924,153,72326
all_background,T2/S03,roc_20,0.8442875686851111,0.3442875686851111,high,0.4618403690211722,0.010807973196228346,153,72319
all_background,T2/S03,adx_14_dmp_14,0.844281493072669,0.344281493072669,high,29.167155919069938,20.130298397124207,153,72326
all_background,T2/S03,mom_20,0.8400896192766851,0.34008961927668513,high,6.759999999999991,0.15000000000009095,153,72319
all_background,T2/S03,efi_13,0.8211825577690266,0.3211825577690266,high,392.3136725699131,3.0357961680206587,153,72326
all_background,T2/S03,aroon_25_aroonosc_25,0.8196669896950861,0.3196669896950861,high,76.0,12.0,153,72314
all_background,T2/S03,wma_21_slope_4,0.815069691016834,0.315069691016834,high,1.288051948051816,0.03021645021635777,153,72315
all_background,T2/S03,adx_21_adx_21,0.8044110484710669,0.3044110484710669,high,31.51684466388072,19.605046299455417,153,72319
all_background,T2/S03,adx_7_dmn_7,0.2064127159165548,0.29358728408344525,low,10.641426971760051,20.01587145407691,153,72333
all_background,T2/S03,sma_8_minus_sma_21,0.7848830530889512,0.28488305308895123,high,1.8518452380951658,0.05113095238107235,153,72319
all_background,T2/S03,rsi_8,0.7751549771044844,0.27515497710448444,high,65.15103187212584,50.7328749837674,153,72332
all_background,T2/S03,bbands_34_bbp_34_2_0,0.7747440118783477,0.27474401187834774,high,0.7926330962895177,0.5231749804047183,153,72306
all_background,T2/S03,close_minus_sma_21,0.7703660353045471,0.27036603530454706,high,2.6919047619048797,0.08285714285693757,153,72319
all_background,T2/S03,cci_34,0.7697869566325687,0.2697869566325687,high,91.29140786749275,8.165124106636751,153,72306
all_background,T2/S03,wma_8_minus_wma_21,0.7532848516923973,0.25328485169239734,high,1.3117424242423112,0.03740259740266083,153,72319
