strategy,feature,auc,auc_lift,direction,positive_median,background_median,positive_count,background_count
T2/S04,wma_8_minus_wma_21,0.9178571419301907,0.41785714193019075,high,2.650023448773254,0.019235209234921058,378,142699
T2/S04,sma_21_minus_sma_50,0.9145525267730357,0.41455252677303567,high,5.2821571428572724,0.0640190476188991,378,142670
T2/S04,rsi_14,0.9129906385400198,0.4129906385400198,high,68.52565867655687,50.351505900374576,378,142706
T2/S04,efi_13,0.9071822061815475,0.40718220618154755,high,1425.0308649678186,1.108626759319912,378,142706
T2/S04,sma_50_slope_4,0.9045716223863085,0.4045716223863085,high,1.275600000000054,0.024200000000291766,378,142666
T2/S04,bbands_20_bbb_20_2_0,0.8952183512975385,0.39521835129753846,high,1.1531690343470316,0.38477392568089663,378,142700
T2/S04,fisher_14,0.894765309845965,0.39476530984596503,high,2.843373098089614,0.06329586062119401,378,142706
T2/S04,hma_32_slope_4,0.8947057499447463,0.3947057499447463,high,2.9809787953061004,0.017332961972897465,378,142680
T2/S04,bbands_34_bbb_34_2_0,0.8921254885575142,0.39212548855751417,high,1.4284600325023402,0.5179099059125865,378,142686
T2/S04,adx_21_dmp_21,0.8916034494629999,0.39160344946299985,high,30.378478361943316,20.21312443767162,378,142699
T2/S04,adx_14_adx_14,0.8817470365127786,0.38174703651277864,high,42.48437766792574,23.38189557781954,378,142706
T2/S04,adx_14_dmp_14,0.8726488365431367,0.37264883654313674,high,30.961865217141515,20.02449257256862,378,142706
T2/S04,close_minus_wma_21,0.8700685455095086,0.37006854550950863,high,3.310887445887488,0.0349350649353255,378,142699
T2/S04,ema_8_slope_4,0.8629106379652952,0.3629106379652952,high,2.006947874918751,0.01866694687760173,378,142708
T2/S04,cmo_14,0.8573534239891412,0.35735342398914116,high,43.16809930134367,0.5917159763308036,378,142705
T2/S04,adx_7_dmn_7,0.1468736584843737,0.3531263415156263,low,8.716030405420167,19.827066295297683,378,142713
T3/S06,rsi_34,0.054460770463815096,0.44553922953618486,low,36.14877007539436,50.36799095162374,83,142981
T3/S06,adx_21_dmp_21,0.05919222156258641,0.4408077784374136,low,11.156564676869229,20.238041192319525,83,142994
T3/S06,rsi_21,0.06435639476658471,0.4356436052334153,low,34.489985341515045,50.35388567911451,83,142994
T3/S06,ema_50_slope_4,0.0645310377427899,0.4354689622572101,low,-1.2138393471113886,0.021475555433653426,83,142961
T3/S06,wma_50_slope_4,0.06573534293580616,0.4342646570641938,low,-1.4493647058827719,0.018494117647151143,83,142961
