basket_id,strategy,mode_at_exit,actual_exit_time,first_cross_time,lag_minutes,cross_found,variant
1412,T5/S10,01-04|>1440m,2019-06-24 01:08:00,2019-06-24 01:05:00,3.0,True,oracle_final_mode_tp_q25
1413,T5/S10,21-23|30-120m,2019-07-02 23:31:00,2019-07-02 23:21:00,10.0,True,oracle_final_mode_tp_q25
1414,T5/S10,21-23|<=30m,2019-07-05 22:28:00,2019-07-05 22:27:00,1.0,True,oracle_final_mode_tp_q25
1415,T5/S10,05-08|360-1440m,2019-07-08 08:12:00,2019-07-08 07:10:00,62.0,True,oracle_final_mode_tp_q25
1416,T5/S10,01-04|>1440m,2019-07-15 01:05:00,,,False,oracle_final_mode_tp_q25
1417,T5/S10,21-23|<=30m,2019-07-18 22:09:00,2019-07-18 22:08:00,1.0,True,oracle_final_mode_tp_q25
1418,T5/S10,21-23|<=30m,2019-07-18 22:15:00,2019-07-18 22:15:00,0.0,True,oracle_final_mode_tp_q25
1419,T5/S10,21-23|<=30m,2019-07-18 22:46:00,2019-07-18 22:25:00,21.0,True,oracle_final_mode_tp_q25
1420,T5/S10,21-23|30-120m,2019-07-18 23:36:00,,,False,oracle_final_mode_tp_q25
1421,T5/S10,01-04|30-120m,2019-07-19 01:06:00,,,False,oracle_final_mode_tp_q25
1422,T5/S10,09-12|360-1440m,2019-07-30 09:38:00,,,False,oracle_final_mode_tp_q25
1423,T5/S10,09-12|360-1440m,2019-07-31 09:27:00,2019-07-31 09:02:00,25.0,True,oracle_final_mode_tp_q25
1424,T5/S10,21-23|<=30m,2019-08-12 22:14:00,2019-08-12 22:13:00,1.0,True,oracle_final_mode_tp_q25
1425,T5/S10,17-20|360-1440m,2019-08-21 17:15:00,,,False,oracle_final_mode_tp_q25
1426,T5/S10,21-23|<=30m,2019-08-23 22:13:00,2019-08-23 22:01:00,12.0,True,oracle_final_mode_tp_q25
1427,T5/S10,21-23|<=30m,2019-09-20 22:19:00,2019-09-20 22:18:00,1.0,True,oracle_final_mode_tp_q25
1428,T5/S10,01-04|>1440m,2019-09-23 04:52:00,2019-09-23 03:29:00,83.0,True,oracle_final_mode_tp_q25
1429,T5/S10,01-04|120-360m,2019-11-13 02:44:00,,,False,oracle_final_mode_tp_q25
1430,T5/S10,01-04|120-360m,2020-01-15 01:28:00,2020-01-15 01:10:00,18.0,True,oracle_final_mode_tp_q25
1431,T5/S10,01-04|>1440m,2020-02-10 01:28:00,,,False,oracle_final_mode_tp_q25
1432,T5/S10,21-23|<=30m,2020-04-06 22:55:00,2020-04-06 22:54:00,1.0,True,oracle_final_mode_tp_q25
1433,T5/S10,01-04|120-360m,2020-04-14 03:12:00,2020-04-14 02:05:00,67.0,True,oracle_final_mode_tp_q25
1434,T5/S10,21-23|30-120m,2020-05-19 23:07:00,2020-05-19 22:59:00,8.0,True,oracle_final_mode_tp_q25
1435,T5/S10,21-23|<=30m,2020-06-15 22:30:00,,,False,oracle_final_mode_tp_q25
1436,T5/S10,01-04|120-360m,2020-06-16 01:18:00,2020-06-16 01:05:00,13.0,True,oracle_final_mode_tp_q25
1437,T5/S10,09-12|360-1440m,2020-07-10 11:14:00,2020-07-10 11:06:00,8.0,True,oracle_final_mode_tp_q25
1438,T5/S10,21-23|<=30m,2020-08-25 22:35:00,,,False,oracle_final_mode_tp_q25
1439,T5/S10,21-23|<=30m,2020-09-28 22:14:00,,,False,oracle_final_mode_tp_q25
1440,T5/S10,21-23|<=30m,2020-09-28 22:57:00,2020-09-28 22:34:00,23.0,True,oracle_final_mode_tp_q25
1441,T5/S10,21-23|<=30m,2020-11-04 22:56:00,2020-11-04 22:52:00,4.0,True,oracle_final_mode_tp_q25
1442,T5/S10,21-23|<=30m,2021-01-06 22:04:00,2021-01-06 22:02:00,2.0,True,oracle_final_mode_tp_q25
1443,T5/S10,01-04|120-360m,2021-01-07 01:27:00,2021-01-07 01:05:00,22.0,True,oracle_final_mode_tp_q25
1444,T5/S10,21-23|30-120m,2021-01-12 22:37:00,2021-01-12 22:31:00,6.0,True,oracle_final_mode_tp_q25
1445,T5/S10,09-12|30-120m,2021-01-13 11:48:00,,,False,oracle_final_mode_tp_q25
1446,T5/S10,21-23|30-120m,2021-05-14 23:40:00,2021-05-14 23:22:00,18.0,True,oracle_final_mode_tp_q25
1447,T5/S10,01-04|>1440m,2021-05-24 02:40:00,2021-05-24 01:30:00,70.0,True,oracle_final_mode_tp_q25
1448,T5/S10,01-04|120-360m,2021-05-28 02:44:00,2021-05-28 02:43:00,1.0,True,oracle_final_mode_tp_q25
1449,T5/S10,13-16|360-1440m,2021-05-28 15:48:00,2021-05-28 15:47:00,1.0,True,oracle_final_mode_tp_q25
1450,T5/S10,01-04|120-360m,2021-06-08 03:43:00,2021-06-08 01:05:00,158.0,True,oracle_final_mode_tp_q25
1451,T5/S10,01-04|120-360m,2021-06-11 01:35:00,2021-06-11 01:33:00,2.0,True,oracle_final_mode_tp_q25
1452,T5/S10,01-04|120-360m,2021-06-16 01:06:00,2021-06-16 01:05:00,1.0,True,oracle_final_mode_tp_q25
1453,T5/S10,05-08|120-360m,2021-06-16 07:30:00,,,False,oracle_final_mode_tp_q25
1454,T5/S10,05-08|360-1440m,2021-09-01 06:50:00,2021-09-01 06:47:00,3.0,True,oracle_final_mode_tp_q25
1455,T5/S10,21-23|30-120m,2021-12-22 23:00:00,2021-12-22 22:35:00,25.0,True,oracle_final_mode_tp_q25
1456,T5/S10,21-23|<=30m,2022-01-11 22:30:00,2022-01-11 22:30:00,0.0,True,oracle_final_mode_tp_q25
1457,T5/S10,01-04|120-360m,2022-02-08 03:46:00,,,False,oracle_final_mode_tp_q25
1458,T5/S10,13-16|360-1440m,2022-02-08 15:36:00,2022-02-08 15:35:00,1.0,True,oracle_final_mode_tp_q25
1459,T5/S10,21-23|<=30m,2022-02-28 22:31:00,2022-02-28 22:28:00,3.0,True,oracle_final_mode_tp_q25
