strategy,rule_size,rule,matched,true_positive,false_positive,precision,recall,total_positive,base_rate,precision_lift_vs_base,score
T4/S08,3,ema_21_minus_ema_50 >= 7.8647 AND close_minus_ema_50 >= 16.0722 AND adx_21_adx_21 >= 47.5722,155,13,142,0.08387096774193549,0.2765957446808511,47,0.0003284485349098863,255.3549759780371,0.023198352779684284
T4/S08,3,ema_50_slope_4 >= 2.4320 AND adx_21_adx_21 >= 47.5722 AND sma_50_slope_4 >= 2.2950,227,15,212,0.06607929515418502,0.3191489361702128,47,0.0003284485349098863,201.1861467803918,0.021089136751335648
T4/S08,2,ema_50_slope_4 >= 2.4320 AND adx_21_adx_21 >= 47.5722,235,15,220,0.06382978723404255,0.3191489361702128,47,0.0003284485349098863,194.3372566772295,0.020371208691715707
T4/S08,3,ema_21_minus_ema_50 >= 7.8647 AND adx_21_adx_21 >= 47.5722 AND sma_50_slope_4 >= 2.2950,308,17,291,0.05519480519480519,0.3617021276595745,47,0.0003284485349098863,168.04704338214975,0.019964078474716773
T4/S08,3,ema_21_minus_ema_50 >= 7.8647 AND ema_50_slope_4 >= 2.4320 AND adx_21_adx_21 >= 47.5722,215,14,201,0.06511627906976744,0.2978723404255319,47,0.0003284485349098863,198.2541316180109,0.019396338446313704
T4/S08,2,ema_21_minus_ema_50 >= 7.8647 AND adx_21_adx_21 >= 47.5722,319,17,302,0.05329153605015674,0.3617021276595745,47,0.0003284485349098863,162.25231774828254,0.01927566197558861
T4/S08,2,adx_21_adx_21 >= 47.5722 AND sma_50_slope_4 >= 2.2950,377,18,359,0.04774535809018567,0.3829787234042553,47,0.0003284485349098863,145.3663299283255,0.018285456289858344
T4/S08,3,rsi_34 >= 67.7285 AND close_minus_ema_50 >= 16.0722 AND adx_21_adx_21 >= 47.5722,147,10,137,0.06802721088435375,0.2127659574468085,47,0.0003284485349098863,207.1168041684759,0.014473874656245478
T4/S08,3,rsi_34 >= 67.7285 AND adx_21_adx_21 >= 47.5722 AND sma_50_slope_4 >= 2.2950,224,12,212,0.05357142857142857,0.2553191489361702,47,0.0003284485349098863,163.10448328267475,0.013677811550151974
T4/S08,3,adx_21_adx_21 >= 47.5722 AND rsi_21 >= 68.9883 AND adx_21_dmp_21 >= 33.1890,311,14,297,0.04501607717041801,0.2978723404255319,47,0.0003284485349098863,137.05671478415545,0.013409044263528768
